molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"11381744",0,0,0,0,1,7,1,-2,324.379,6.235,617.421,149.519,160.304,307.598,0.000,1077.759,2.000,7.200,0.0360685,0.0164917,0.8233756,35.421,11.954,18.999,15.298,1.577,-2.765,-3.174,-4.482,163.683,-1.435,134.180,-2.718,8.659,0.696,3,-0.452,3,75.805,0.000,32.881,93.274,5,0,15,0,15,1,24,0,1.067
"11244651",0,0,0,0,1,8,1,-2,338.405,7.336,676.217,199.259,169.461,307.496,0.000,1160.955,2.000,7.200,0.0463568,0.0150578,0.7899923,38.107,12.842,19.980,15.275,1.993,-3.575,-3.440,-5.022,134.198,-1.729,108.099,-2.791,8.697,0.721,4,-0.316,3,76.695,0.000,32.808,95.882,5,0,15,0,15,1,25,0,0.145
"11244651",0,0,0,0,1,8,1,-2,338.405,5.995,657.901,165.896,158.553,333.452,0.000,1146.817,2.000,7.200,0.0313423,0.0154770,0.8053795,37.789,12.791,19.711,15.339,2.025,-3.268,-3.440,-4.897,170.069,-1.548,139.840,-2.499,8.679,0.704,3,-0.338,3,78.725,0.000,32.879,93.083,5,0,15,0,15,1,25,0,0.579
"11244651",0,0,0,0,1,8,1,-2,338.405,4.879,655.798,157.539,162.669,335.591,0.000,1145.868,2.000,7.200,0.0207753,0.0155266,0.8075160,37.772,12.825,19.592,15.371,1.995,-3.235,-3.440,-4.873,155.630,-1.582,126.896,-2.567,8.603,0.628,3,-0.339,3,77.860,0.000,32.817,92.978,5,0,15,0,15,1,25,0,0.534
"11151483",0,0,0,0,1,7,1,-2,324.379,8.830,609.750,169.815,158.491,281.444,0.000,1069.208,2.000,7.200,0.0729251,0.0166992,0.8293191,34.829,11.681,19.265,15.081,1.512,-2.644,-3.174,-4.262,170.651,-1.395,140.046,-2.777,8.488,0.560,4,-0.468,3,75.751,0.000,32.767,94.395,5,0,15,0,15,1,24,0,1.231
"11151483",0,0,0,0,1,7,1,-2,324.379,7.031,618.031,134.604,162.539,320.888,0.000,1076.906,2.000,7.200,0.0459089,0.0164755,0.8221290,35.514,12.054,19.194,15.130,1.571,-2.898,-3.174,-4.566,166.880,-1.462,127.285,-2.713,8.656,0.756,3,-0.456,3,75.919,0.000,29.163,94.197,5,0,15,0,15,1,24,0,0.795
"11151483",0,0,0,0,1,7,1,-2,324.379,6.180,572.005,141.266,150.144,280.595,0.000,1040.483,2.000,7.200,0.0367067,0.0178011,0.8681370,33.671,11.437,18.446,14.842,1.430,-2.077,-3.174,-3.629,209.153,-1.187,170.538,-2.626,8.623,0.712,3,-0.504,3,76.853,0.000,31.610,91.658,5,0,15,0,15,1,24,0,6.423
"9947876",0,0,0,0,1,8,1,-2,288.346,9.103,605.612,199.217,169.389,237.007,0.000,1021.035,2.000,7.200,0.0811516,0.0168133,0.8097123,31.834,10.946,18.195,14.622,1.076,-2.414,-2.265,-4.367,134.511,-1.641,108.284,-3.038,9.495,0.235,4,-0.646,3,71.344,0.000,32.767,95.873,5,0,11,0,11,1,21,0,1.017
"9947876",0,0,0,0,1,8,1,-2,288.346,8.529,627.237,184.517,169.263,273.456,0.000,1049.557,2.000,7.200,0.0693172,0.0162336,0.7962895,33.324,11.482,18.567,14.923,1.279,-2.765,-2.265,-4.758,134.835,-1.698,108.606,-2.908,8.970,-0.287,3,-0.588,3,72.556,0.000,32.786,94.450,5,0,11,0,11,1,21,0,0.612
"9947876",0,0,0,0,1,8,1,-2,288.346,7.078,587.258,166.418,164.844,255.996,0.000,1008.251,2.000,7.200,0.0496891,0.0173388,0.8280348,31.504,10.950,17.720,14.657,1.069,-2.127,-2.265,-4.161,149.251,-1.522,120.546,-2.888,9.010,-0.220,3,-0.660,3,72.115,0.000,32.509,94.262,5,0,11,0,11,1,21,0,2.785
"2726",0,1,0,0,0,4,0,2,318.863,1.799,565.259,212.522,7.284,246.044,99.409,1010.970,0.000,2.500,0.0032000,0.0000000,0.8618066,34.086,10.134,12.485,4.418,5.101,-4.739,-4.476,-5.668,2107.305,0.900,4292.435,-2.466,7.962,0.458,6,0.714,3,100.000,0.000,0.000,8.543,2,1,14,0,14,0,21,0,0.072
"2249",0,1,0,0,1,9,0,-2,266.339,5.189,589.730,291.196,162.004,136.530,0.000,983.454,4.000,6.450,0.0273830,0.0218744,0.8109878,28.729,10.262,18.638,16.150,0.174,-1.291,-0.772,-4.593,36.324,-1.223,31.787,-5.223,9.002,-0.265,5,-0.747,2,55.888,0.000,37.225,95.538,5,0,6,0,6,0,19,0,0.334
"2249",0,1,0,0,1,9,0,-2,266.339,6.669,593.806,293.539,159.966,140.301,0.000,985.259,4.000,6.450,0.0451371,0.0217243,0.8064064,28.837,10.286,18.899,16.172,0.178,-1.288,-0.772,-4.685,37.970,-1.220,33.354,-5.172,9.134,-0.232,5,-0.748,2,56.258,0.000,37.236,95.655,5,0,6,0,6,0,19,0,0.326
"25181217",1,0,0,0,0,1,1,1,283.387,2.970,549.225,194.350,43.431,272.802,38.642,945.413,0.000,2.500,0.0093308,0.0000000,0.8481947,33.645,9.469,12.375,5.447,4.412,-5.322,-4.831,-5.289,3837.451,0.196,3445.968,-1.263,8.659,0.924,0,0.651,3,100.000,0.000,0.000,30.786,2,0,15,0,15,0,20,0,0.074
"25181201",0,0,0,0,0,0,1,1,273.324,4.159,508.971,153.703,36.562,235.845,82.861,864.268,0.000,2.500,0.0200137,0.0000000,0.8621266,30.686,8.095,11.669,5.288,4.055,-4.914,-4.617,-4.888,4458.393,0.439,7078.566,-1.363,8.854,1.041,2,0.458,3,100.000,46.796,0.000,29.060,2,0,15,0,15,0,19,0,0.144
"22416235",1,0,0,0,0,0,1,1,245.271,4.119,454.868,0.000,43.473,325.844,85.551,750.057,0.000,2.500,0.0226149,0.0000000,0.8776923,26.975,7.735,10.621,5.818,3.470,-3.901,-4.021,-5.065,3833.939,0.397,6220.861,-1.173,8.847,1.119,0,0.127,3,100.000,46.798,0.000,30.797,2,0,15,0,15,0,17,0,2.070
"1510389",0,0,0,0,0,0,1,1,273.324,2.266,508.775,153.708,36.538,235.649,82.880,864.012,0.000,2.500,0.0059411,0.0000000,0.8622888,30.674,8.092,11.472,5.287,4.054,-4.911,-4.617,-4.884,4460.756,0.439,7084.327,-1.363,8.905,1.048,2,0.457,3,100.000,46.806,0.000,29.032,2,0,15,0,15,0,19,0,0.146
"54585290",0,0,0,0,0,0,0,0,272.309,6.278,516.328,0.000,89.836,426.492,0.000,891.702,0.000,3.500,0.0441970,0.0000000,0.8677326,33.605,10.164,13.747,7.921,3.286,-4.169,-4.491,-5.706,1393.122,-0.232,707.922,-1.673,8.962,1.297,2,0.270,3,100.000,0.000,0.000,46.730,4,0,21,0,21,0,21,0,0.392
"53469858",0,0,0,0,0,0,0,0,271.321,3.834,518.463,0.000,86.967,431.496,0.000,894.118,1.000,3.000,0.0164382,0.0057863,0.8657192,33.749,10.420,14.590,8.913,3.527,-4.648,-4.767,-5.763,1483.182,-0.210,757.515,-1.602,8.531,0.644,2,0.477,3,100.000,0.000,0.000,42.344,3,0,21,0,21,0,21,0,0.152
"53469858",0,0,0,0,0,0,0,0,271.321,4.941,522.701,0.000,88.306,434.395,0.000,897.929,1.000,2.500,0.0271897,0.0047829,0.8611390,33.930,10.465,14.529,8.460,3.745,-4.890,-4.954,-5.851,1440.444,-0.230,733.949,-1.617,8.857,1.028,2,0.579,3,100.000,0.000,0.000,42.661,3,0,21,0,21,0,21,0,0.085
"3659633",0,0,0,0,0,1,1,0,304.369,8.612,533.790,0.000,82.826,379.462,71.502,933.452,0.800,3.500,0.0794454,0.0058647,0.8653452,34.184,10.864,15.810,8.572,3.845,-4.914,-5.259,-5.521,1623.544,-0.059,2058.366,-1.613,9.222,1.356,3,0.456,3,100.000,0.000,0.000,44.461,4,0,21,0,21,0,22,0,0.090
"60155784",0,2,0,0,0,5,0,1,390.441,5.339,652.893,272.829,147.085,232.979,0.000,1195.445,2.000,7.750,0.0238478,0.0167871,0.8343392,40.702,12.456,20.936,13.336,1.666,-2.153,-3.130,-6.776,24.825,-0.350,11.147,-7.055,8.367,1.427,4,0.162,2,61.664,0.000,0.000,93.116,7,0,24,0,24,4,29,0,0.000
"60155784",0,2,0,0,0,5,0,1,390.441,6.748,678.226,280.949,119.938,277.339,0.000,1229.061,2.000,7.750,0.0370524,0.0161600,0.8181624,42.471,12.896,21.620,13.514,2.097,-2.571,-3.130,-7.249,44.908,-0.135,21.156,-6.398,8.354,1.421,4,0.232,3,68.797,0.000,0.000,93.412,7,0,24,0,24,4,29,0,0.000
"60155784",0,2,0,0,0,5,0,1,390.441,4.627,614.026,259.049,146.018,208.959,0.000,1159.132,2.000,7.750,0.0184682,0.0178497,0.8690948,39.020,11.989,20.343,13.071,1.455,-1.523,-3.130,-6.099,25.410,-0.230,11.432,-7.120,8.312,1.356,4,0.102,2,60.612,0.000,0.000,91.589,7,0,24,0,24,4,29,0,0.001
"60155622",0,2,0,0,0,5,0,0,375.426,3.070,622.089,178.661,154.846,288.581,0.000,1138.844,3.000,6.750,0.0082774,0.0187937,0.8477916,38.968,12.617,21.189,14.172,1.584,-1.892,-3.144,-6.823,20.955,-0.377,9.282,-7.002,8.235,0.871,4,0.167,2,59.868,0.000,0.000,89.631,6,0,24,0,24,4,28,1,0.000
"60155622",0,2,0,0,0,5,0,0,375.426,4.312,612.854,181.872,151.337,279.645,0.000,1129.271,3.000,6.750,0.0164638,0.0190769,0.8557361,38.500,12.455,21.130,14.065,1.548,-1.746,-3.144,-6.652,22.624,-0.319,10.083,-6.969,8.295,0.913,4,0.151,2,60.252,0.000,0.000,92.802,6,0,24,0,24,4,28,1,0.001
"60155622",0,2,0,0,0,5,0,0,375.426,2.756,623.535,178.575,156.084,288.876,0.000,1143.269,3.000,6.750,0.0066425,0.0187501,0.8480143,39.148,12.669,21.238,14.186,1.603,-1.915,-3.144,-6.821,20.397,-0.388,9.014,-7.024,8.150,0.820,4,0.178,2,59.767,0.000,0.000,90.569,6,0,24,0,24,4,28,1,0.000
"60155622",0,2,0,0,0,5,0,0,375.426,3.344,575.634,157.706,157.885,260.044,0.000,1101.837,3.000,6.750,0.0101482,0.0203104,0.8962518,37.214,12.230,20.720,13.887,1.355,-1.164,-3.144,-5.903,19.610,-0.251,8.639,-7.158,8.050,0.814,4,0.125,2,58.014,0.000,0.000,87.973,6,0,24,0,24,4,28,1,0.002
"60155622",0,2,0,0,0,5,0,0,375.426,6.519,625.238,183.720,148.043,293.475,0.000,1153.872,3.000,6.750,0.0368290,0.0186990,0.8509254,39.616,12.747,21.798,14.167,1.731,-1.943,-3.144,-6.796,24.311,-0.304,10.898,-6.859,8.043,0.773,4,0.206,2,61.881,0.000,0.000,90.199,6,0,24,0,24,4,28,0,0.001
"54576041",0,2,0,0,0,5,0,1,389.453,3.009,665.756,273.311,114.486,277.959,0.000,1209.889,2.000,6.750,0.0074858,0.0143385,0.8247968,41.710,12.679,20.403,12.466,2.417,-2.676,-3.485,-7.145,50.586,-0.063,24.061,-6.295,8.153,0.861,4,0.365,3,71.594,0.000,0.000,76.427,6,0,24,0,24,4,29,0,0.000
"54576041",0,2,0,0,0,5,0,1,389.453,3.432,664.707,275.397,113.988,275.322,0.000,1213.793,2.000,6.750,0.0097024,0.0143611,0.8278740,41.841,12.692,20.486,12.442,2.443,-2.658,-3.485,-7.083,51.139,-0.050,24.346,-6.296,8.235,0.905,4,0.377,3,71.835,0.000,0.000,76.643,6,0,24,0,24,4,29,0,0.000
