molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"24777274",0,0,0,0,0,8,0,-2,581.651,11.951,836.819,188.469,198.551,449.799,0.000,1631.772,0.000,13.500,0.0875243,0.0000000,0.8010132,58.308,17.897,28.704,17.676,2.519,-4.704,-7.892,-6.897,129.730,-1.982,54.406,-2.826,9.315,0.926,4,-0.596,2,53.596,0.000,0.000,135.107,12,2,31,0,31,2,42,0,0.017
"24777272",0,0,0,0,0,9,1,-2,539.608,12.452,766.923,308.399,217.452,241.072,0.000,1522.485,0.000,14.500,0.1018386,0.0000000,0.8345428,51.299,15.456,26.819,16.981,0.944,-2.693,-5.876,-5.359,85.862,-2.060,34.827,-3.814,9.369,0.913,4,-1.223,2,41.165,0.000,0.000,143.823,12,2,20,0,20,2,38,0,0.168
"24777272",0,0,0,0,0,9,1,-2,539.608,7.252,785.807,376.766,209.105,199.935,0.000,1549.386,0.000,14.500,0.0339416,0.0000000,0.8240541,51.983,15.376,25.984,16.689,1.129,-3.051,-5.876,-5.332,103.028,-2.032,42.410,-3.805,8.944,0.771,4,-1.145,2,43.665,0.000,0.000,147.030,12,2,20,0,20,2,38,0,0.075
"24777272",1,0,0,0,0,9,1,-2,539.608,0.767,794.818,428.744,201.920,164.153,0.000,1563.854,0.000,14.500,0.0003757,0.0000000,0.8197757,52.220,15.216,25.499,16.419,1.231,-3.222,-5.876,-5.231,120.529,-1.982,50.248,-3.799,8.889,0.731,4,-1.103,2,45.483,0.000,0.000,145.163,12,2,20,0,20,2,38,0,0.052
"24777272",0,0,0,0,0,9,1,-2,539.608,7.814,883.512,432.856,210.313,240.344,0.000,1632.562,0.000,14.500,0.0373974,0.0000000,0.7589251,55.698,16.844,27.098,17.208,1.710,-4.902,-5.876,-6.579,100.347,-2.413,41.219,-3.685,9.153,0.743,4,-0.904,2,46.866,0.000,0.000,146.464,12,2,20,0,20,2,38,0,0.001
"24777132",0,0,0,0,1,9,0,-2,538.623,6.088,763.200,362.815,212.860,187.525,0.000,1514.152,1.000,15.000,0.0244763,0.0196541,0.8355511,50.454,15.199,27.077,20.408,0.561,-3.085,-5.460,-3.713,59.662,-2.012,38.814,-3.918,8.929,0.869,4,-1.035,2,36.096,0.000,25.333,143.407,12,2,20,0,20,2,38,0,0.053
"24777132",0,0,0,0,1,9,0,-2,538.623,12.372,805.261,388.474,204.815,211.972,0.000,1565.796,1.000,15.000,0.0977558,0.0186275,0.8098135,52.755,15.866,28.790,18.748,0.937,-4.617,-5.460,-4.246,113.095,-2.061,46.929,-3.683,8.712,0.649,4,-0.929,2,43.267,0.000,0.024,149.600,12,2,20,0,20,2,38,0,0.003
"24777132",0,0,0,0,1,9,0,-2,538.623,9.860,769.405,365.732,198.083,205.590,0.000,1533.960,1.000,15.000,0.0633739,0.0194956,0.8360254,51.420,15.389,27.916,20.455,0.807,-3.183,-5.460,-3.791,82.192,-1.868,55.010,-3.582,9.010,1.104,4,-0.984,2,40.024,0.000,25.458,140.095,12,2,20,0,20,2,38,0,0.093
"24777132",0,0,0,0,1,9,0,-2,538.623,12.195,806.526,392.243,206.262,208.021,0.000,1566.743,1.000,15.000,0.0949164,0.0185983,0.8088691,52.755,15.862,28.747,18.742,0.927,-4.635,-5.460,-4.242,109.350,-2.081,45.354,-3.724,8.707,0.639,4,-0.928,2,42.948,0.000,0.138,149.681,12,2,20,0,20,2,38,0,0.002
"24777018",0,0,0,0,0,9,0,-2,593.674,6.449,817.551,233.115,283.422,300.715,0.300,1616.594,0.000,16.500,0.0257260,0.0000000,0.8147997,55.635,17.233,28.751,19.927,0.198,-2.606,-6.456,-5.963,20.333,-2.824,7.368,-4.820,9.344,0.922,4,-1.485,2,25.602,0.000,0.000,160.662,12,2,26,0,26,2,41,1,0.022
"24777018",1,0,0,0,0,9,0,-2,593.674,6.053,806.421,282.811,252.373,271.236,0.000,1606.676,0.000,16.500,0.0228005,0.0000000,0.8226638,54.957,16.679,28.303,19.488,0.312,-2.394,-6.456,-5.695,40.054,-2.465,15.275,-4.351,9.100,1.022,4,-1.514,2,31.542,0.000,0.000,155.015,12,2,26,0,26,2,41,0,0.107
"24777018",1,0,0,0,0,9,0,-2,593.674,6.376,805.886,234.257,277.577,293.755,0.297,1610.948,0.000,16.500,0.0252327,0.0000000,0.8246683,55.343,17.045,28.647,19.812,0.193,-2.385,-6.456,-5.770,23.102,-2.699,8.458,-4.736,9.337,0.916,4,-1.501,2,26.568,0.000,0.000,160.484,12,2,26,0,26,2,41,0,0.045
"24777018",1,0,0,0,0,9,0,-2,593.674,6.200,801.315,282.044,254.394,264.876,0.000,1602.160,0.000,16.500,0.0239915,0.0000000,0.8263533,54.715,16.593,28.250,19.447,0.262,-2.298,-6.456,-5.605,38.325,-2.463,14.563,-4.411,9.097,1.017,4,-1.527,2,30.901,0.000,0.000,154.852,12,2,26,0,26,2,41,0,0.116
"17759517",0,0,0,0,0,9,0,-2,526.615,9.985,844.344,224.108,251.243,368.993,0.000,1610.371,0.000,12.000,0.0619078,0.0000000,0.7869180,56.038,17.607,26.762,15.805,2.650,-5.469,-7.055,-6.740,41.054,-2.684,15.688,-3.986,8.262,0.950,4,-0.299,2,58.382,0.000,0.000,119.385,10,1,26,0,26,3,38,0,0.000
"17759517",1,0,0,0,0,9,0,-2,526.615,14.388,827.932,200.183,249.997,377.752,0.000,1598.451,0.000,12.000,0.1295147,0.0000000,0.7985520,55.645,17.476,27.615,15.816,2.592,-5.158,-7.055,-6.593,42.187,-2.593,16.156,-3.932,8.320,1.115,4,-0.334,2,58.248,0.000,0.000,118.905,10,1,26,0,26,3,38,0,0.000
"17759517",0,0,0,0,0,9,0,-2,526.615,10.983,835.454,229.265,250.357,355.832,0.000,1598.916,0.000,12.000,0.0754470,0.0000000,0.7915156,55.454,17.374,26.736,15.688,2.566,-5.301,-7.055,-6.602,41.856,-2.643,16.019,-4.016,8.242,0.943,4,-0.332,2,58.040,0.000,0.000,119.162,10,1,26,0,26,3,38,0,0.000
"17759517",0,0,0,0,0,9,0,-2,526.615,10.973,833.948,228.492,250.412,355.043,0.000,1597.622,0.000,12.000,0.0753724,0.0000000,0.7925175,55.395,17.351,26.718,15.679,2.557,-5.272,-7.055,-6.582,41.807,-2.637,15.999,-4.020,8.243,0.939,4,-0.336,2,57.974,0.000,0.000,119.174,10,1,26,0,26,3,38,0,0.000
